################################################################################
# Voter Autrement 2017
################################################################################
#
# This dataset Voter Autrement is made available under the Open Database
# License: http://opendatacommons.org/licenses/odbl/1.0/. Any rights in
# individual contents of the database are licensed under the Database
# Contents License: http://opendatacommons.org/licenses/dbcl/1.0/
#
# Antoinette Baujard, GATE Lyon Saint-Étienne, Université Jean Monnet, Saint-Étienne
# Renaud Blanch, LIG, Univ. Grenoble-Alpes
# Sylvain Bouveret, LIG, Univ. Grenoble-Alpes
# François Durand, LAMSADE, Université Paris-Dauphine
# Herrade Igersheim, CNRS, BETA, Université de Strasbourg
# Jérôme Lang, LAMSADE CNRS, Université Paris-Dauphine
# Annick Laruelle, UPV-EHU, Universidad del País Vasco
# Jean-François Laslier, CNRS, Paris School of Economics
# Isabelle Lebon, CREM, Universités Caen-Normandie et Rennes 1
# Vincent Merlin, CNRS, CREM, Universités Caen-Normandie et Rennes 1
#
################################################################################
#
# Dataset: Online experiment Questionnaire.
# Format: CSV with header
#
# The questionnaire filled-in by the participants at the end of the experiment (version
# proposed to the participants before the first round of the official election)
# For most questions, the participants were free not to answer at all (empty value)
# or explicitly they do not want to answer (value "nspp").
#
# * Column 1: Voter number
# * Colums 2-12: Appreciation of voting methods (-2, -1, 0, 1, 2) (NP) means that the
#   voter did not test this method. No value means that the voter did not answer.
#   - Column 2: Approval
#   - Column 3: Evaluation 0/1/2
#   - Column 4: Evaluation 0/1/2/3
#   - Column 5: Evaluation -1/0/1/2
#   - Column 6: Evaluation -1/0/1
#   - Column 7: Borda 4
#   - Column 8: STV 4-11
#   - Column 9: STV 1-11
#   - Column 10: Evaluation Continuous
#   - Column 11: Condorcet
#   - Column 12: two round majority
# * Column 13: what do you plan to do at the first round of the official election?
#   (vote for candidate X / blanc = blank / abstention = abstain / ni = I do not have the right to vote / nspp)
# * Column 14: vote is a right (t = yes / f = no)
# * Column 15: vote is a duty (t = yes / f = no)
# * Column 16: vote is a chance (t = yes / f = no)
# * Column 17: vote is useful (t = yes / f = no)
# * Column 18: evaluate your position on a left / right axis (0 = left ... 10 = right)
# * Column 19: age group (18-29, 30-39, 40-49, 50-59, 60-69, 70)
# * Column 20: gender (h = male / f = female)
# * Column 21: level of education (primaire = basic / secondaire = intermediate / superieur = higher)
# * Column 22: socio-professional category (liberal = "profession libérale", approximately self-employed
#   independent profession / prive = employee in the private sector /
#   public = employee in the public sector / chomage = unemployed / etudiant = student / autre = other)
#
################################################################################
Voter,Appreciation Approval,Appreciation Evaluation 0/1/2,Appreciation Evaluation 0/1/2/3,Appreciation Evaluation -1/0/1/2,Appreciation Evaluation -1/0/1,Appreciation Borda 4,Appreciation STV 4-11,Appreciation STV 1-11,Appreciation Evaluation Continuous,Appreciation Condorcet,Appreciation two round majority,official vote,vote is a right,vote is a duty,vote is a chance,vote is useful,left right,age,gender,studies,socioprofessional
Voter 26820,-2,(NP),(NP),1,(NP),-1,(NP),(NP),,,1,Emmanuel Macron,t,t,t,f,5,30-39,h,superieur,prive
Voter 26821,(NP),(NP),1,2,(NP),2,(NP),(NP),,,-2,Benoît Hamon,t,f,t,f,1,18-29,nspp,superieur,liberal
Voter 26822,,(NP),(NP),(NP),,,(NP),(NP),,,1,Jean-Luc Mélenchon,t,t,t,t,3,18-29,f,superieur,prive
Voter 26823,(NP),(NP),1,1,(NP),1,(NP),(NP),,,1,Jean-Luc Mélenchon,t,t,t,t,1,40-49,h,primaire,autre
Voter 26824,1,(NP),2,(NP),(NP),(NP),0,(NP),,,1,ne se prononce pas,t,t,t,t,7,18-29,h,superieur,etudiant
Voter 26825,(NP),1,(NP),(NP),2,(NP),1,(NP),,,-1,Jean-Luc Mélenchon,t,t,t,t,2,40-49,h,superieur,prive
Voter 26826,1,(NP),(NP),(NP),1,(NP),-1,(NP),,,-1,Benoît Hamon,t,f,t,t,4,30-39,h,superieur,prive
Voter 26827,(NP),1,(NP),(NP),1,1,(NP),(NP),,,-1,Jean-Luc Mélenchon,t,,t,,1,50-59,f,superieur,public
Voter 26828,1,(NP),-1,(NP),(NP),(NP),(NP),1,,,1,incertitude,t,t,f,t,3,18-29,f,superieur,etudiant
Voter 26829,-2,(NP),1,(NP),(NP),-1,(NP),(NP),,,0,Jean-Luc Mélenchon,t,t,t,t,2,50-59,h,superieur,public
Voter 26830,(NP),(NP),1,1,(NP),(NP),(NP),1,,,0,Emmanuel Macron,,t,,,5,30-39,h,superieur,prive
Voter 26831,1,(NP),(NP),-1,(NP),1,(NP),(NP),,,-2,incertitude,t,t,t,f,,30-39,h,superieur,prive
Voter 26832,1,(NP),1,(NP),(NP),(NP),1,(NP),,,-1,Jean-Luc Mélenchon,t,,,t,0,30-39,h,superieur,prive
Voter 26833,2,(NP),(NP),(NP),2,(NP),(NP),1,,,-1,incertitude,t,f,t,t,2,40-49,h,superieur,nspp
Voter 26834,-1,(NP),(NP),(NP),1,1,(NP),(NP),,,0,Emmanuel Macron,t,f,t,t,6,18-29,h,superieur,etudiant
Voter 26835,(NP),0,(NP),(NP),0,0,(NP),(NP),,,0,abstention,t,f,f,t,8,18-29,h,superieur,etudiant
Voter 26836,(NP),-2,(NP),(NP),-2,1,(NP),(NP),,,-1,Jean-Luc Mélenchon,t,t,t,t,3,30-39,h,superieur,public
Voter 26837,1,(NP),(NP),(NP),1,(NP),0,(NP),,,-1,incertitude,t,t,t,t,4,40-49,f,superieur,public
Voter 26838,-2,(NP),(NP),(NP),-1,(NP),(NP),1,,,1,Emmanuel Macron,t,f,t,t,5,18-29,f,superieur,prive
Voter 26839,1,(NP),0,(NP),(NP),(NP),(NP),1,,,0,Jean-Luc Mélenchon,t,t,t,t,10,18-29,h,primaire,etudiant
Voter 26840,0,(NP),(NP),1,(NP),(NP),0,(NP),,,1,Jean-Luc Mélenchon,t,t,t,t,5,30-39,h,superieur,prive
Voter 26841,1,(NP),(NP),-2,(NP),(NP),(NP),1,,,-1,Jean-Luc Mélenchon,t,t,t,t,7,30-39,h,superieur,chomage
Voter 26842,-1,(NP),(NP),(NP),1,-1,(NP),(NP),,,1,Emmanuel Macron,t,t,t,t,5,60-69,h,superieur,public
Voter 26843,0,(NP),(NP),2,(NP),2,(NP),(NP),,,-2,Jean-Luc Mélenchon,t,f,f,f,1,40-49,h,superieur,prive
Voter 26844,0,(NP),1,(NP),(NP),2,(NP),(NP),,,1,Benoît Hamon,t,t,t,t,1,30-39,h,superieur,prive
Voter 26845,(NP),1,(NP),(NP),0,1,(NP),(NP),,,-1,Benoît Hamon,t,t,t,f,1,18-29,f,superieur,prive
Voter 26846,0,(NP),1,(NP),(NP),(NP),(NP),1,,,1,Benoît Hamon,t,t,t,t,3,30-39,f,superieur,prive
Voter 26847,(NP),1,(NP),(NP),1,-2,(NP),(NP),,,-1,blanc,t,t,t,t,3,30-39,h,superieur,public
Voter 26848,(NP),2,(NP),(NP),2,1,(NP),(NP),,,-1,François Fillon,t,f,t,t,9,30-39,h,superieur,prive
Voter 26849,1,(NP),(NP),1,(NP),(NP),(NP),1,,,2,Jean-Luc Mélenchon,t,f,t,t,4,18-29,h,superieur,prive
Voter 26850,(NP),-1,(NP),(NP),1,-2,(NP),(NP),,,-2,Jean-Luc Mélenchon,t,f,f,f,,40-49,f,superieur,public
Voter 26851,(NP),0,(NP),(NP),0,(NP),(NP),0,,,-2,abstention,t,f,f,f,5,18-29,h,superieur,etudiant
Voter 26852,(NP),1,(NP),(NP),0,(NP),(NP),-1,,,-2,Jean-Luc Mélenchon,t,f,f,f,2,18-29,f,superieur,etudiant
Voter 26853,2,(NP),(NP),-2,(NP),(NP),(NP),2,,,-2,Jean-Luc Mélenchon,t,f,f,f,0,30-39,f,superieur,public
Voter 26854,(NP),-1,(NP),(NP),1,1,(NP),(NP),,,-1,Emmanuel Macron,t,t,t,t,2,18-29,f,superieur,etudiant
Voter 26855,1,(NP),(NP),1,(NP),(NP),1,(NP),,,-1,Jean-Luc Mélenchon,t,t,t,t,2,60-69,f,superieur,public
Voter 26856,0,(NP),(NP),(NP),1,(NP),(NP),-1,,,-1,Jean-Luc Mélenchon,t,t,t,t,1,30-39,f,superieur,public
Voter 26857,(NP),1,(NP),(NP),1,(NP),(NP),0,,,1,Jean-Luc Mélenchon,t,t,t,t,0,40-49,f,superieur,public
Voter 26858,1,(NP),(NP),(NP),-1,1,(NP),(NP),,,1,Jean-Luc Mélenchon,t,t,t,t,2,18-29,f,superieur,etudiant
Voter 26859,(NP),1,(NP),(NP),0,2,(NP),(NP),,,-1,Emmanuel Macron,t,,,,5,30-39,h,superieur,prive
Voter 26860,1,(NP),(NP),0,(NP),(NP),(NP),1,,,-1,Jean-Luc Mélenchon,t,t,t,t,2,50-59,f,superieur,public
Voter 26861,1,(NP),(NP),(NP),-1,(NP),1,(NP),,,-2,Benoît Hamon,t,t,t,t,2,40-49,h,superieur,liberal
Voter 26862,1,(NP),(NP),(NP),1,1,(NP),(NP),,,0,Emmanuel Macron,t,t,t,f,5,30-39,f,superieur,prive
Voter 26863,(NP),0,(NP),(NP),1,(NP),(NP),2,,,-1,Emmanuel Macron,t,t,t,t,6,50-59,f,superieur,prive
Voter 26864,1,(NP),(NP),2,(NP),(NP),(NP),-1,,,-2,Nicolas Dupont-Aignan,t,t,t,f,8,30-39,f,superieur,prive
Voter 26865,0,(NP),(NP),1,(NP),1,(NP),(NP),,,1,Jean-Luc Mélenchon,t,t,t,t,3,18-29,f,superieur,etudiant
Voter 26866,2,(NP),(NP),(NP),-1,(NP),-1,(NP),,,1,Benoît Hamon,t,t,t,t,1,60-69,f,superieur,retraite
Voter 26867,(NP),0,(NP),(NP),0,(NP),0,(NP),,,0,Jean-Luc Mélenchon,t,t,t,t,5,18-29,h,superieur,prive
Voter 26868,(NP),1,(NP),(NP),1,(NP),(NP),2,,,-2,Jean-Luc Mélenchon,t,t,t,t,2,18-29,h,superieur,etudiant
Voter 26869,,(NP),(NP),(NP),,(NP),(NP),,,,,abstention,f,f,f,f,,nspp,nspp,nspp,nspp
Voter 26870,1,(NP),(NP),(NP),1,1,(NP),(NP),,,1,Benoît Hamon,,t,t,,5,60-69,f,secondaire,retraite
Voter 26871,2,(NP),(NP),0,(NP),(NP),(NP),-1,,,-2,Benoît Hamon,t,,,t,3,50-59,f,superieur,public
Voter 26872,0,(NP),(NP),(NP),-1,(NP),1,(NP),,,0,abstention,t,t,t,f,1,nspp,f,superieur,nspp
Voter 26873,-2,(NP),(NP),-1,(NP),1,(NP),(NP),,,-2,incertitude,t,t,t,t,3,18-29,f,superieur,prive
Voter 26874,(NP),(NP),1,1,(NP),(NP),(NP),1,,,-1,Jean-Luc Mélenchon,t,t,,f,1,30-39,h,superieur,public
Voter 26875,,(NP),(NP),(NP),,(NP),(NP),,,,-2,François Asselineau,t,,t,,5,+70,f,secondaire,retraite
Voter 26876,1,(NP),(NP),2,(NP),(NP),(NP),1,,,-1,Jean-Luc Mélenchon,t,t,f,t,1,40-49,f,superieur,public
Voter 26877,(NP),(NP),1,0,(NP),(NP),(NP),-1,,,1,Jean-Luc Mélenchon,t,t,t,t,2,40-49,h,superieur,prive
Voter 26878,0,(NP),(NP),1,(NP),1,(NP),(NP),,,0,Benoît Hamon,t,t,t,t,3,30-39,f,superieur,public
Voter 26879,1,(NP),(NP),(NP),2,(NP),0,(NP),,,,Benoît Hamon,t,t,t,t,2,40-49,h,superieur,prive
Voter 26880,-2,(NP),1,(NP),(NP),2,(NP),(NP),,,1,Emmanuel Macron,t,t,t,t,4,60-69,h,superieur,prive
Voter 26881,(NP),0,(NP),(NP),0,(NP),0,(NP),,,1,François Fillon,t,f,t,f,7,30-39,h,superieur,prive
Voter 26882,-1,(NP),2,(NP),(NP),1,(NP),(NP),,,-2,Benoît Hamon,t,t,t,,2,50-59,f,superieur,retraite
Voter 26883,(NP),(NP),2,1,(NP),2,(NP),(NP),,,2,Emmanuel Macron,t,t,t,t,3,30-39,h,superieur,prive
Voter 26884,0,(NP),(NP),-1,(NP),1,(NP),(NP),,,1,Emmanuel Macron,t,f,t,t,4,60-69,f,superieur,chomage
Voter 26885,1,(NP),(NP),0,(NP),(NP),(NP),,,,-1,Jean-Luc Mélenchon,t,t,t,f,1,30-39,f,superieur,liberal
Voter 26886,(NP),(NP),1,1,(NP),1,(NP),(NP),,,1,Jean-Luc Mélenchon,t,t,f,t,8,50-59,f,nspp,nspp
Voter 26887,(NP),1,(NP),(NP),1,(NP),(NP),2,,,-2,Emmanuel Macron,t,t,t,t,4,40-49,h,superieur,liberal
Voter 26888,1,(NP),(NP),(NP),0,1,(NP),(NP),,,-1,Benoît Hamon,t,t,t,t,2,30-39,h,superieur,prive
Voter 26889,1,(NP),1,(NP),(NP),(NP),2,(NP),,,-1,non inscrit,t,t,t,,0,nspp,h,secondaire,etudiant
Voter 26890,(NP),1,(NP),(NP),0,1,(NP),(NP),,,-2,Jean-Luc Mélenchon,,,t,,2,30-39,h,superieur,liberal
Voter 26891,1,(NP),(NP),1,(NP),2,(NP),(NP),,,-1,Benoît Hamon,t,t,t,t,1,60-69,h,superieur,retraite
Voter 26892,(NP),(NP),1,1,(NP),(NP),(NP),2,,,1,Benoît Hamon,t,t,t,t,2,50-59,h,superieur,public
Voter 26893,(NP),(NP),1,1,(NP),(NP),(NP),1,,,-1,Benoît Hamon,t,t,t,t,3,30-39,h,superieur,prive
Voter 26894,2,(NP),(NP),(NP),1,(NP),1,(NP),,,-1,Emmanuel Macron,t,t,t,t,3,60-69,f,superieur,retraite
Voter 26895,0,(NP),(NP),1,(NP),(NP),(NP),,,,-1,incertitude,t,t,t,t,,nspp,h,nspp,nspp
Voter 26896,(NP),1,(NP),(NP),1,(NP),(NP),-1,,,-1,Jean-Luc Mélenchon,t,t,t,t,8,40-49,h,superieur,liberal
Voter 26897,-1,(NP),(NP),(NP),-2,(NP),(NP),1,,,-2,Jean-Luc Mélenchon,t,t,t,t,2,18-29,h,superieur,etudiant
Voter 26898,(NP),(NP),-1,2,(NP),1,(NP),(NP),,,1,Jean-Luc Mélenchon,f,t,t,t,2,18-29,h,superieur,etudiant
Voter 26899,1,(NP),,(NP),(NP),(NP),(NP),1,,,-1,Jean-Luc Mélenchon,t,t,t,t,2,30-39,f,secondaire,public
Voter 26900,(NP),0,(NP),(NP),0,(NP),(NP),0,,,-2,Emmanuel Macron,,,,t,3,60-69,h,superieur,retraite
Voter 26901,(NP),1,(NP),(NP),0,(NP),(NP),0,,,,Jean-Luc Mélenchon,t,,t,t,0,60-69,h,primaire,autre
Voter 26902,1,(NP),(NP),1,(NP),(NP),(NP),1,,,-1,Jean-Luc Mélenchon,t,t,t,t,0,50-59,h,superieur,public
Voter 26903,1,(NP),(NP),(NP),-1,1,(NP),(NP),,,-1,Jean-Luc Mélenchon,t,t,t,t,3,30-39,h,superieur,public
Voter 26904,1,(NP),1,(NP),(NP),(NP),2,(NP),,,1,Emmanuel Macron,t,t,t,t,5,30-39,f,superieur,liberal
Voter 26905,0,(NP),(NP),2,(NP),0,(NP),(NP),,,-1,Jean-Luc Mélenchon,t,t,t,t,0,50-59,f,secondaire,public
Voter 26906,1,(NP),(NP),1,(NP),1,(NP),(NP),,,-1,incertitude,t,t,t,t,2,30-39,f,superieur,chomage
Voter 26907,(NP),(NP),-1,-1,(NP),(NP),(NP),0,,,1,Emmanuel Macron,t,t,t,t,4,30-39,h,superieur,public
Voter 26908,1,(NP),1,(NP),(NP),(NP),1,(NP),,,-1,Benoît Hamon,,,t,,0,50-59,h,superieur,prive
Voter 26909,-1,(NP),-1,(NP),(NP),(NP),-1,(NP),,,1,incertitude,t,t,t,t,5,18-29,f,superieur,prive
Voter 26910,-1,(NP),(NP),-1,(NP),(NP),1,(NP),,,-2,Benoît Hamon,t,t,t,t,2,30-39,h,superieur,liberal
Voter 26911,(NP),(NP),1,-1,(NP),(NP),(NP),-1,,,0,incertitude,t,t,t,t,5,18-29,f,superieur,public
Voter 26912,1,(NP),(NP),2,(NP),(NP),(NP),1,,,1,Marine Le Pen,t,t,t,f,10,40-49,h,superieur,prive
Voter 26913,1,(NP),(NP),(NP),-1,(NP),(NP),-1,,,-1,Jean-Luc Mélenchon,t,f,t,t,9,50-59,f,secondaire,public
Voter 26914,1,(NP),(NP),(NP),1,1,(NP),(NP),,,1,incertitude,t,t,t,t,7,30-39,f,superieur,prive
Voter 26915,1,(NP),1,(NP),(NP),(NP),-1,(NP),,,-2,Benoît Hamon,t,f,t,f,2,18-29,f,superieur,public
Voter 26916,1,(NP),2,(NP),(NP),2,(NP),(NP),,,-2,Emmanuel Macron,t,t,t,t,5,18-29,h,superieur,public
Voter 26917,(NP),(NP),1,1,(NP),1,(NP),(NP),,,-2,abstention,,,t,,5,40-49,f,superieur,public
Voter 26918,(NP),-1,(NP),(NP),-2,(NP),(NP),1,,,0,Emmanuel Macron,t,,t,,5,60-69,f,superieur,retraite
Voter 26919,(NP),(NP),1,2,(NP),(NP),(NP),1,,,-1,Jean-Luc Mélenchon,t,,t,,2,18-29,h,secondaire,chomage
Voter 26920,0,(NP),(NP),1,(NP),0,(NP),(NP),,,-2,Jean-Luc Mélenchon,t,f,t,t,1,18-29,h,superieur,prive
Voter 26921,,(NP),,(NP),(NP),(NP),(NP),,,,,Marine Le Pen,t,t,t,t,9,18-29,h,secondaire,etudiant
Voter 26922,1,(NP),1,(NP),(NP),(NP),2,(NP),,,1,Jean-Luc Mélenchon,t,f,f,t,2,18-29,h,superieur,etudiant
Voter 26923,0,(NP),1,(NP),(NP),(NP),1,(NP),,,1,Emmanuel Macron,t,t,t,t,2,60-69,f,secondaire,retraite
Voter 26924,1,(NP),(NP),,(NP),,(NP),(NP),,,2,Philippe Poutou,t,t,t,t,3,30-39,f,superieur,nspp
Voter 26925,0,(NP),(NP),(NP),1,(NP),1,(NP),,,-2,incertitude,t,t,t,t,3,30-39,h,superieur,nspp
Voter 26926,(NP),0,(NP),(NP),0,-2,(NP),(NP),,,1,François Fillon,t,t,t,t,5,18-29,h,superieur,etudiant
Voter 26927,0,(NP),(NP),2,(NP),(NP),1,(NP),,,-2,Jean-Luc Mélenchon,t,t,t,t,5,30-39,h,superieur,chomage
Voter 26928,1,(NP),-1,(NP),(NP),(NP),1,(NP),,,-1,Emmanuel Macron,t,t,f,t,5,30-39,h,superieur,prive
Voter 26929,-1,(NP),(NP),1,(NP),(NP),0,(NP),,,-1,Emmanuel Macron,t,t,t,t,4,30-39,f,superieur,prive
Voter 26930,(NP),0,(NP),(NP),0,(NP),2,(NP),,,-2,Jean-Luc Mélenchon,t,t,t,t,3,18-29,f,superieur,prive
Voter 26931,1,(NP),1,(NP),(NP),(NP),0,(NP),,,-2,Jean-Luc Mélenchon,t,,,t,0,18-29,h,superieur,etudiant
Voter 26932,1,(NP),(NP),(NP),1,(NP),-1,(NP),,,2,Emmanuel Macron,t,t,t,,1,40-49,f,superieur,public
Voter 26933,1,(NP),(NP),(NP),-1,(NP),(NP),1,,,1,Jean-Luc Mélenchon,t,t,t,t,4,40-49,h,superieur,prive
Voter 26934,(NP),-1,(NP),(NP),1,(NP),(NP),,,,-1,Emmanuel Macron,t,t,t,t,5,30-39,f,superieur,public
Voter 26935,(NP),(NP),1,2,(NP),(NP),(NP),1,,,-1,Benoît Hamon,t,,t,t,4,40-49,h,superieur,public
Voter 26936,-1,(NP),1,(NP),(NP),(NP),-1,(NP),,,-1,Jean-Luc Mélenchon,t,f,t,t,2,30-39,f,superieur,prive
Voter 26937,1,(NP),(NP),1,(NP),-1,(NP),(NP),,,-1,Emmanuel Macron,,t,t,,4,60-69,f,superieur,retraite
Voter 26938,1,(NP),1,(NP),(NP),1,(NP),(NP),,,-1,Jean-Luc Mélenchon,t,t,t,t,3,50-59,f,superieur,retraite
Voter 26939,,(NP),,(NP),(NP),,(NP),(NP),,,,Emmanuel Macron,t,t,,,5,+70,f,nspp,retraite
Voter 26940,1,(NP),(NP),(NP),0,(NP),2,(NP),,,-2,Jean-Luc Mélenchon,t,f,f,t,2,40-49,h,superieur,prive
Voter 26941,(NP),(NP),,,(NP),(NP),,(NP),,,-1,Jean-Luc Mélenchon,t,t,t,t,,+70,h,secondaire,retraite
Voter 26942,(NP),0,(NP),(NP),0,1,(NP),(NP),,,-1,Jean-Luc Mélenchon,t,t,t,t,3,18-29,h,superieur,etudiant
Voter 26943,2,(NP),(NP),(NP),2,(NP),(NP),2,,,2,Jean-Luc Mélenchon,,t,t,,1,nspp,h,nspp,
Voter 26944,,(NP),(NP),(NP),,(NP),,(NP),,,,Jean-Luc Mélenchon,t,t,t,t,2,40-49,h,superieur,prive
Voter 26945,2,(NP),0,(NP),(NP),2,(NP),(NP),,,-2,Jean-Luc Mélenchon,t,t,t,t,2,30-39,f,superieur,public
Voter 26946,(NP),1,(NP),(NP),1,1,(NP),(NP),,,1,Jean-Luc Mélenchon,t,t,t,t,0,50-59,h,secondaire,prive
Voter 26947,2,(NP),(NP),(NP),2,(NP),2,(NP),,,,Jean-Luc Mélenchon,t,,t,,0,30-39,h,superieur,public
Voter 26948,-1,(NP),(NP),(NP),1,-1,(NP),(NP),,,-2,incertitude,t,t,t,t,3,50-59,f,superieur,public
Voter 26949,(NP),(NP),0,-1,(NP),1,(NP),(NP),,,1,Nicolas Dupont-Aignan,t,f,t,t,8,18-29,h,superieur,prive
Voter 26950,(NP),1,(NP),(NP),1,(NP),(NP),1,,,1,Emmanuel Macron,t,t,t,t,2,40-49,f,superieur,prive
Voter 26951,1,(NP),(NP),1,(NP),(NP),(NP),-1,,,-2,Jean-Luc Mélenchon,t,,,,1,30-39,f,superieur,public
Voter 26952,(NP),(NP),2,2,(NP),1,(NP),(NP),,,-2,Benoît Hamon,t,t,t,f,2,30-39,f,superieur,autre
Voter 26953,1,(NP),(NP),(NP),-1,0,(NP),(NP),,,1,Jean-Luc Mélenchon,t,t,t,t,3,18-29,f,superieur,liberal
Voter 26954,1,(NP),(NP),2,(NP),1,(NP),(NP),,,-2,Jean-Luc Mélenchon,t,f,t,t,0,50-59,h,secondaire,prive
Voter 26955,0,(NP),(NP),(NP),-1,(NP),1,(NP),,,0,Jean-Luc Mélenchon,t,t,t,t,3,60-69,f,secondaire,retraite
Voter 26956,0,(NP),(NP),(NP),0,0,(NP),(NP),,,1,François Fillon,t,t,t,t,8,50-59,f,secondaire,public
Voter 26957,(NP),(NP),1,2,(NP),2,(NP),(NP),,,1,Jean-Luc Mélenchon,t,t,t,t,4,18-29,h,superieur,liberal
Voter 26958,(NP),(NP),1,1,(NP),(NP),-1,(NP),,,-2,Jean-Luc Mélenchon,t,t,t,t,2,30-39,h,superieur,public
Voter 26959,(NP),(NP),1,2,(NP),(NP),-1,(NP),,,-2,Jean-Luc Mélenchon,t,t,,f,2,30-39,h,superieur,public
Voter 26960,(NP),(NP),1,1,(NP),2,(NP),(NP),,,0,François Fillon,t,t,t,t,7,30-39,f,superieur,prive
Voter 26961,(NP),0,(NP),(NP),0,(NP),(NP),0,,,-2,abstention,t,f,f,,0,40-49,h,superieur,prive
Voter 26962,(NP),0,(NP),(NP),-1,(NP),(NP),1,,,-1,Jean-Luc Mélenchon,t,t,t,t,9,30-39,f,superieur,liberal
Voter 26963,0,(NP),-1,(NP),(NP),(NP),(NP),1,,,-1,Jean-Luc Mélenchon,t,t,t,t,2,30-39,f,superieur,public
Voter 26964,(NP),(NP),1,1,(NP),1,(NP),(NP),,,0,Jean-Luc Mélenchon,t,f,t,t,,18-29,h,superieur,liberal
Voter 26965,(NP),(NP),1,1,(NP),-1,(NP),(NP),,,-1,Benoît Hamon,t,t,t,t,3,18-29,f,superieur,etudiant
Voter 26966,(NP),-2,(NP),(NP),-2,(NP),1,(NP),,,1,Jean-Luc Mélenchon,t,t,t,t,2,60-69,f,superieur,retraite
Voter 26967,0,(NP),(NP),0,(NP),(NP),(NP),0,,,-2,Jean-Luc Mélenchon,t,f,t,f,9,30-39,h,superieur,prive
Voter 26968,(NP),-1,(NP),(NP),-1,1,(NP),(NP),,,1,François Fillon,t,t,,,8,60-69,f,secondaire,nspp
Voter 26969,1,(NP),0,(NP),(NP),1,(NP),(NP),,,-1,blanc,t,f,t,t,3,30-39,h,superieur,prive
Voter 26970,0,(NP),(NP),0,(NP),(NP),(NP),0,,,0,Benoît Hamon,t,t,t,t,3,30-39,h,superieur,liberal
Voter 26971,(NP),1,(NP),(NP),0,(NP),(NP),1,,,-1,Nathalie Arthaud,t,t,t,t,2,40-49,f,superieur,prive
Voter 26972,1,(NP),-1,(NP),(NP),(NP),(NP),0,,,1,incertitude,t,t,f,t,3,50-59,f,secondaire,prive
Voter 26973,(NP),1,(NP),(NP),1,(NP),(NP),1,,,1,Benoît Hamon,t,t,t,t,0,60-69,h,nspp,retraite
Voter 26974,0,(NP),(NP),(NP),0,(NP),0,(NP),,,0,ne se prononce pas,t,f,f,f,5,40-49,f,secondaire,nspp
Voter 26975,0,(NP),(NP),(NP),0,(NP),0,(NP),,,0,Emmanuel Macron,t,t,t,t,7,50-59,f,superieur,retraite
Voter 26976,(NP),(NP),1,1,(NP),(NP),(NP),-1,,,-1,Emmanuel Macron,t,t,t,t,3,40-49,h,superieur,prive
Voter 26977,(NP),-1,(NP),(NP),0,1,(NP),(NP),,,-1,Jean-Luc Mélenchon,t,t,f,t,0,40-49,h,superieur,public
Voter 26978,1,(NP),(NP),(NP),2,(NP),(NP),0,,,0,Benoît Hamon,t,t,t,,3,18-29,h,superieur,prive
Voter 26979,(NP),(NP),0,0,(NP),(NP),(NP),0,,,-2,blanc,t,f,t,t,5,30-39,h,superieur,prive
Voter 26980,1,(NP),-1,(NP),(NP),(NP),(NP),1,,,-1,Jean-Luc Mélenchon,t,f,t,t,4,30-39,h,superieur,public
Voter 26981,-1,(NP),(NP),1,(NP),2,(NP),(NP),,,-2,Jean-Luc Mélenchon,t,t,t,f,3,30-39,f,superieur,prive
Voter 26982,(NP),,(NP),(NP),,(NP),(NP),,,,,Jean-Luc Mélenchon,t,,,,1,40-49,h,superieur,public
Voter 26983,(NP),1,(NP),(NP),1,(NP),(NP),1,,,1,Benoît Hamon,,t,t,t,4,30-39,h,superieur,public
Voter 26984,(NP),1,(NP),(NP),1,(NP),-1,(NP),,,1,Emmanuel Macron,t,t,t,t,5,50-59,f,superieur,prive
Voter 26985,(NP),(NP),1,1,(NP),-2,(NP),(NP),,,-1,Emmanuel Macron,t,t,t,t,7,30-39,h,superieur,prive
Voter 26986,,(NP),(NP),(NP),,,(NP),(NP),,,,Jean-Luc Mélenchon,t,t,t,t,2,40-49,f,superieur,prive
Voter 26987,1,(NP),(NP),2,(NP),-1,(NP),(NP),,,-1,Jean-Luc Mélenchon,t,t,t,t,1,18-29,h,nspp,nspp
Voter 26988,1,(NP),(NP),(NP),1,(NP),1,(NP),,,-1,Emmanuel Macron,t,t,t,t,6,30-39,h,secondaire,prive
Voter 26989,1,(NP),(NP),-1,(NP),(NP),(NP),0,,,1,François Fillon,t,t,t,t,5,30-39,f,superieur,prive
Voter 26990,1,(NP),1,(NP),(NP),(NP),(NP),0,,,0,Benoît Hamon,t,t,t,t,2,50-59,f,superieur,prive
Voter 26991,2,(NP),(NP),(NP),0,(NP),(NP),-1,,,1,Emmanuel Macron,t,t,t,t,4,30-39,h,superieur,prive
Voter 26992,(NP),2,(NP),(NP),1,(NP),(NP),1,,,-2,Jean-Luc Mélenchon,t,t,t,t,5,50-59,f,secondaire,prive
Voter 26993,(NP),-2,(NP),(NP),-2,(NP),-2,(NP),,,2,Marine Le Pen,t,,t,t,10,18-29,h,superieur,chomage
Voter 26994,-1,(NP),(NP),(NP),1,(NP),2,(NP),,,-1,Benoît Hamon,t,t,t,,4,40-49,f,superieur,liberal
